No.|Class|Condition|Contents|Measure|Release|Teach|Auto|Teach|Auto|Teach|Auto
903|Amplifier unit failure|Servo communication stop|This failure occurs when the communication between CPU board and the servo board stops.|(1)Please confirm whether connector CNCOM of servo board UM351(L21730X) on the drive unit is correctly connected.(2)Please confirm whether connector CNLAN3 of CPU board is correctly connected.(3)Please replace the drive unit.(4)Please replace the CPU board.(5)Please replace the cable between the drive unit and te CPU board.|After removal of failure, please carry out "failure-reset". Wait more than 5 seconds for next motor power on.|E|E|E|E|on|on
904|CPU board failure|Sequence board connect failure.|Sequence board(UM352(L21700F00)) is not recognized.|Please check whether the sequence board is correctly connected or not.|Turn on the power again.|E|E|E|E|on|on
905|CPU board failure|Abnormal setting of the I/O board.|I/O board is not recognized. DIP-SW on the I/O board is incorrect.|Check DIP-SW on the I/O board.|Turn on the power again.|E|E|E|E|on|on
910|Amplifier unit failure|Abnormal output of the servo gun pressure sensor.|Error occurs when 1) disconnect between pressure sensor and AX controller, 2) pressure sensor troubles, 3) troubles of the analog sensor board in AX controller.|Please check 1) connector on the analog sensor board, 2) the conection between pressure sensor and AX controller, 3) exchange new pressure sensor.|After removal of failure, please turn on power supply of the controller again.|E|E|E|E|on|on
911|Amplifier unit failure|Autozero failure of analog input.|Beause analog input signal has the offset value, autozero cannot be executed.|Please check 1) connection of analog input line 2) analog input signal by its manual.|After removal of failure, please turn on power supply of the controller again.|E|E|E|E|on|on
919|Operation al failure|The allowed unbalanced torque is exceeded.|This failure is detected when moving to the position in which the allowed unbalanced torque is exceeded.|(1)Please move the robot to the position in a permissible torque in the constant setting mode. (2)Please correct the teaching so as not to exceed the position in a permissible torque. (3)Please confirm installed posture. (4)Please confirm the tool load.|Error reset.|A|E|A|E|on|on
956|FieldBus failure|The communication error occurred.|The details of a communication error should check a sub code.|An unusual cause is removed based on a sub code.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
957|FieldBus failure|The system error was detected.|The details of a communication error should check a sub code.|Check the setting in a field bus hardware setup screen.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
958|FieldBus failure|The error was detected with the self check of a communication board.|They are the abnormalities of a communication board. Please check the details of abnormalities to system service.|The defect of a communication board is considered.|A communication board is exchanged.|E|E|E|E|on|on
959|FieldBus failure|A communication board is not found.|The communication board specified on the constant setting screen is not found.|Please check the slot ID of a field bus hardware setup.|The setting value of a field bus hardware setup is changed.|E|E|E|E|on|on
960|FieldBus failure|A part or all I/O links are stopping.|Since the between title has occurred in the I/O device, a robot cannot be started.|Please check the device which the problem has generated by the field bus monitor.|If a problem is solved, it will restore automatically. (In order to solve a problem, the re-injection of a power supply may be required)|E|E|E|E|on|on
967|Control failure|T/P selector switch is set to MANUAL.|Playback operation is impossible while the T/P selector switch is set to MANUAL.|(1)Set the T/P selector switch to AUTO. (2)Please replace the T/P. (3)Please replace the sequence board (UM352(L21700F)).|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
975|Control failure|Magnetic switch is not active.|This error occurs when a signal from a magnetic switch is not received within the specified time after the Motors ON signal is given.|(1)Please check the cable of the power unit and the drive unit. (2)Please replace the sequence board UM352/L21700F00. (3)Please replace the multi power  supply unit.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
976|Control failure|Confirm magnet-ON (Fixed input IN28) is OFF.|This error occurs when the Confirm magnet-ON (Fixed input IN28) is unexpectedly cut OFF during motor power ON condition.|(1)Please replace the power unit. (2)Please replace the sequence board (UM352/L21700F00).|After removal of failure, please turn on power supply of the controller again.|E|E|E|E|on|on
977|Control failure|Both teach and playback mode signal is not fixed.|Neither teach mode nor playback mode signal is turned ON.|Please confirm the operation mode signals connection.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
1001|Control failure|PWM was cut off.|Error occurs when software can't be selected the cause which a PWM signal was cut off.|(1)Replace power unit. (2)Replace drive unit.|Error reset.|E|E|E|E|on|on
1003|Control failure|Analog input board is not installed. Or analog|Although analog input (output) board is not installed, analog input|Turn off the power and connect analog Input (output) board correctly.|Error reset.|E|E|E|E|on|on
1012|Control failure|PWM of the disconnected mechanism has been turned on.|This error occurs when PWM is not turned off even if a certain time passes after the mechanism diconnection.|There are some problems in the brake and the PWM control circuit of sequence PCB. Please replace the sequence PCB or the drive unit.|After removal of failure, please carry out"failure-reset".|E|E|E|E|on|on
1016|Encoder failure|Manipulator battery warning|This warning occurs when the voltage of the battery in the robot manipulator decreases.|(1)Please exchange the battery referring to Instruction Manual "Manipulator". (2) Please perform the Encoder Reset and Encoder Correction.|After the battery is exchanged, please carry out "failure-reset" and then turn on the power supply of the controller again.|I|I|I|I|on|on
1024|Servo failure|Robot over temperature|This failure occurs when the temperature of the motor, the encoder, the harness, and the connector guessed from the motor current and the motor speed is abnormal.|(1)Please confirm that the Pay-load is within the nominal rating. (2)Please confirm the wiring of the motor brake refering to "Manipulator Maintenance Manual". (3)Please lowering the temperature of an abnormal location, and lowering the outside temperature. (4)If failure persists, please lower the operation speed of the robot.|After removal of failure, please carry out "failure-reset".|I|I|I|I|on|on
1046|Control failure|Master-ON circuit is inconsistent.|(1)This error occurs when the magnet on confirming input signal (fixed input IN28) is not turned ON within the designated time after consist of conditions.|(1)Replace the sequence board UM352/L21700F00. (2)Replace the power unit.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
1048|Control failure|The magnetic switch contacts were welded and stick each other.|This error occurs when the contacts of the magnetic switch were welded and stick each other.|(1)Please check the cables (from the power unit to the drive unit(CNMS) / from the drive unit to the sequence board (CNSV) ). (2)Please replace the power unit. (3)Please replace the sequence board UM352/L21700F00. (4)Please replace the multi power supply unit. (5)Please replace the drive unit.|After removal of failure, please carry out "failure-reset".|E|E|E|E|on|on
